Code géographique,Elu,Orientation
02499,Marine,EXD
02500,Marine,EXD
02501,Marine,EXD
02502,Marine,EXD
02503,Marine,EXD
02504,Marine,EXD
02505,Marine,EXD
02506,Emmanuel,C
02507,Emmanuel,C
02508,Marine,EXD
02509,Marine,EXD
02510,Marine,EXD
02511,Marine,EXD
02512,Marine,EXD
02513,Marine,EXD
02514,Marine,EXD
02515,Emmanuel,C
02516,Marine,EXD
02517,Marine,EXD
02518,Marine,EXD
02519,Marine,EXD
02520,Marine,EXD
02521,Marine,EXD
02522,Marine,EXD
02523,Marine,EXD
02524,Marine,EXD
02525,Marine,EXD
02526,Marine,EXD
02527,Marine,EXD
02528,Marine,EXD
02529,Marine,EXD
02530,Marine,EXD
02531,Emmanuel,C
02532,Marine,EXD
02533,Marine,EXD
02534,Marine,EXD
02535,Marine,EXD
02536,Marine,EXD
02537,Marine,EXD
02538,Marine,EXD
02539,Marine,EXD
02540,Marine,EXD
02541,Marine,EXD
02542,Emmanuel,C
02543,Marine,EXD
02544,Marine,EXD
02545,Marine,EXD
02546,Marine,EXD
02547,Marine,EXD
02548,Marine,EXD
02549,Marine,EXD
02550,Marine,EXD
02551,Marine,EXD
02552,Marine,EXD
02553,Marine,EXD
02554,Marine,EXD
02555,Marine,EXD
02556,Marine,EXD
02557,Marine,EXD
02558,Marine,EXD
02559,Marine,EXD
02560,Marine,EXD
02561,Emmanuel,C
02562,Marine,EXD
02563,Marine,EXD
02564,Marine,EXD
02565,Marine,EXD
02566,Marine,EXD
02567,Marine,EXD
02568,Emmanuel,C
02569,Marine,EXD
02570,Marine,EXD
02571,Marine,EXD
02572,Marine,EXD
02573,Emmanuel,C
02574,Marine,EXD
02575,Marine,EXD
02576,Marine,EXD
02577,Marine,EXD
02578,Marine,EXD
02579,Marine,EXD
02580,Marine,EXD
02581,Marine,EXD
02582,Marine,EXD
02583,Marine,EXD
02584,Marine,EXD
02585,Marine,EXD
02586,Marine,EXD
02587,Marine,EXD
02588,Emmanuel,C
02589,Marine,EXD
02590,Marine,EXD
02591,Marine,EXD
02592,Marine,EXD
02593,Marine,EXD
02594,Marine,EXD
02595,Marine,EXD
02596,Marine,EXD
02598,Marine,EXD
02599,Marine,EXD
02600,Marine,EXD
02601,Marine,EXD
02602,Marine,EXD
02604,Marine,EXD
02605,Marine,EXD
02606,Emmanuel,C
02607,Marine,EXD
02608,Marine,EXD
02609,Emmanuel,C
02610,Marine,EXD
02612,Marine,EXD
02613,Marine,EXD
02614,Marine,EXD
02615,Emmanuel,C
02616,Marine,EXD
02617,Marine,EXD
02618,Marine,EXD
02619,Marine,EXD
02620,Marine,EXD
02621,Emmanuel,C
02622,Marine,EXD
02623,Marine,EXD
02624,Marine,EXD
02625,Marine,EXD
02626,Marine,EXD
02627,Marine,EXD
02628,Marine,EXD
02629,Marine,EXD
02631,Marine,EXD
02632,Emmanuel,C
02633,Marine,EXD
02634,Marine,EXD
02635,Marine,EXD
02636,Marine,EXD
02637,Emmanuel,C
02638,Marine,EXD
02639,Marine,EXD
02640,Marine,EXD
02641,Marine,EXD
02642,Marine,EXD
02643,Marine,EXD
02644,Marine,EXD
02645,Marine,EXD
02647,Marine,EXD
02648,Marine,EXD
02649,Marine,EXD
02650,Marine,EXD
02651,Marine,EXD
02652,Marine,EXD
02653,Marine,EXD
02654,Emmanuel,C
02655,Marine,EXD
02656,Emmanuel,C
02657,Marine,EXD
02658,Marine,EXD
02659,Emmanuel,C
02660,Marine,EXD
02661,Marine,EXD
02662,Marine,EXD
02663,Marine,EXD
02664,Marine,EXD
02665,Marine,EXD
02666,Marine,EXD
02667,Marine,EXD
02668,Marine,EXD
02670,Emmanuel,C
02671,Marine,EXD
02672,Marine,EXD
02673,Marine,EXD
02674,Emmanuel,C
02675,Marine,EXD
02676,Marine,EXD
02677,Marine,EXD
02678,Marine,EXD
02679,Marine,EXD
02680,Marine,EXD
02681,Marine,EXD
02682,Marine,EXD
02683,Marine,EXD
02684,Marine,EXD
02685,Marine,EXD
02686,Marine,EXD
02687,Emmanuel,C
02688,Emmanuel,C
02689,Marine,EXD
02690,Emmanuel,C
02691,Marine,EXD
02693,Marine,EXD
02694,Marine,EXD
02696,Emmanuel,C
02697,Marine,EXD
02698,Marine,EXD
02699,Marine,EXD
02701,Marine,EXD
02702,Marine,EXD
02703,Marine,EXD
02704,Marine,EXD
02705,Marine,EXD
02706,Marine,EXD
02707,Marine,EXD
02708,Marine,EXD
02709,Marine,EXD
02710,Marine,EXD
02711,Marine,EXD
02712,Marine,EXD
